date,open,high,low,close,volume,number of trades,Bitcoin BTC,sentiment
2018-04-25 03:00:00,9675.01000000,9729.88000000,9323.02000000,9347.99000000,4750.25811700,28321,97.0,0.20037878787878788
2018-04-25 04:00:00,9349.99000000,9500.00000000,9110.00000000,9200.00000000,7349.06761400,45134,91.0,0.5
2018-04-25 05:00:00,9200.22000000,9411.00000000,9190.00000000,9370.00000000,4471.75066900,26367,72.0,0.12
2018-04-25 06:00:00,9370.00000000,9476.23000000,9355.00000000,9415.06000000,2308.47475000,13483,70.0,0.05796296296296298
2018-04-25 07:00:00,9415.06000000,9468.00000000,9322.00000000,9416.39000000,1806.17106400,10585,71.0,0.14813131313131314
2018-04-25 08:00:00,9415.00000000,9438.54000000,9251.00000000,9281.98000000,2062.73647800,12708,68.0,0.18841604823747682
2018-04-25 09:00:00,9281.98000000,9340.00000000,9200.10000000,9272.00000000,2432.72741700,16633,69.0,0.004166666666666666
2018-04-25 10:00:00,9271.09000000,9280.00000000,8960.00000000,9140.68000000,6813.76261200,38971,73.0,0.5
2018-04-25 11:00:00,9140.00000000,9189.39000000,8980.00000000,9144.03000000,4102.88585300,23570,74.0,0.04880952380952379
2018-04-25 12:00:00,9137.00000000,9210.21000000,9071.00000000,9129.89000000,3273.80450600,17199,63.0,0.18365113722256576
2018-04-25 13:00:00,9129.84000000,9159.03000000,8925.80000000,9011.78000000,3665.37400800,19890,64.0,0.0
2018-04-25 14:00:00,9011.79000000,9042.93000000,8730.00000000,8880.00000000,7353.70059300,40495,74.0,0.09846560846560846
2018-04-25 15:00:00,8874.33000000,8975.00000000,8825.00000000,8972.09000000,3884.08205200,21741,64.0,0.3
2018-04-25 16:00:00,8972.09000000,8977.00000000,8846.00000000,8910.00000000,2596.71114100,13614,62.0,0.15286458333333336
2018-04-25 17:00:00,8908.32000000,9089.00000000,8908.28000000,9058.00000000,2805.15414900,17147,68.0,0.10700740231990234
2018-04-25 18:00:00,9055.10000000,9063.58000000,8951.00000000,8991.03000000,1816.64158600,11580,62.0,0.1409375
2018-04-25 19:00:00,8991.04000000,9025.00000000,8948.05000000,8969.98000000,1310.50591600,7857,58.0,0.1101851851851852
2018-04-25 20:00:00,8969.55000000,9116.91000000,8963.54000000,9083.00000000,1667.93625800,10259,59.0,0.0
2018-04-25 21:00:00,9085.16000000,9179.00000000,9076.01000000,9178.98000000,1834.72347000,13238,65.0,0.1395833333333333
2018-04-25 22:00:00,9178.98000000,9185.01000000,8926.00000000,8955.00000000,2588.92552500,15357,71.0,0.0473058712121212
2018-04-25 23:00:00,8950.00000000,9007.60000000,8770.00000000,8869.99000000,2949.54915400,17888,71.0,0.00707908163265307
