date,open,high,low,close,volume,number of trades,Ethereum ETH
2018-05-24 09:00:00,573.39000000,575.46000000,550.00000000,566.04000000,19671.06155000,16548,58
2018-05-24 10:00:00,566.80000000,570.77000000,560.00000000,564.12000000,8296.53734000,7689,60
2018-05-24 11:00:00,564.12000000,570.00000000,562.35000000,564.76000000,6536.32681000,5177,63
2018-05-24 12:00:00,565.00000000,589.00000000,555.01000000,580.00000000,8441.82404000,6525,61
2018-05-24 13:00:00,581.90000000,589.00000000,570.00000000,580.98000000,7361.25437000,8381,51
2018-05-24 14:00:00,580.90000000,592.00000000,576.21000000,586.98000000,6544.40959000,5858,55
2018-05-24 15:00:00,586.98000000,595.94000000,581.11000000,595.62000000,9294.24424000,6238,66
2018-05-24 16:00:00,595.04000000,596.18000000,577.50000000,583.00000000,11654.36993000,8455,67
2018-05-24 17:00:00,583.00000000,587.00000000,578.24000000,585.01000000,5662.16565000,4735,48
2018-05-24 18:00:00,585.07000000,594.95000000,582.22000000,593.14000000,5979.28751000,5168,50
2018-05-24 19:00:00,593.62000000,597.94000000,588.61000000,596.10000000,5073.39735000,5055,55
2018-05-24 20:00:00,595.82000000,597.21000000,586.00000000,589.77000000,3933.41895000,4106,78
2018-05-24 21:00:00,589.77000000,591.29000000,583.11000000,586.85000000,2903.40042000,3237,58
2018-05-24 22:00:00,586.98000000,596.00000000,585.11000000,594.95000000,5212.84106000,4088,65
2018-05-24 23:00:00,594.94000000,604.46000000,592.40000000,602.18000000,7633.64671000,6243,55
2018-05-25 00:00:00,602.08000000,603.10000000,588.01000000,594.84000000,6041.00774000,5503,41
2018-05-25 01:00:00,594.82000000,600.82000000,588.60000000,600.69000000,3553.12446000,3714,58
2018-05-25 02:00:00,600.31000000,606.80000000,596.00000000,606.27000000,4941.41981000,4886,36
2018-05-25 03:00:00,606.30000000,606.98000000,599.16000000,602.20000000,4449.85452000,4328,47
2018-05-25 04:00:00,602.60000000,608.79000000,600.33000000,606.00000000,3782.79763000,3837,59
2018-05-25 05:00:00,606.01000000,613.14000000,604.88000000,612.94000000,3528.54265000,3512,65
2018-05-25 06:00:00,612.60000000,617.46000000,590.05000000,593.04000000,9042.97657000,8260,59
